YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS50M,WD50M
2011,2,11,7,11.87,46,0,3.32,287.84
2011,2,11,8,15.01,38.5,0,2.21,263.91
2011,2,11,9,20.43,26,0,2.17,251.57
2011,2,11,10,25.02,16.44,0,2.88,253.93
2011,2,11,11,26.94,14.81,0,3.2,261.3
2011,2,11,12,28.09,14.31,0,3.62,274.58
2011,2,11,13,28.63,14.38,0,3.82,288.21
2011,2,11,14,28.54,15.06,0,4.17,300.5
2011,2,11,15,27.65,16.56,0,4.63,309.73
2011,2,11,16,23.93,30.81,0,4.77,321.05
2011,2,11,17,19.83,36.94,0,4.85,335.46
2011,2,11,18,18.56,38.12,0,4.88,351.81
2011,2,11,19,17.46,39.94,0,5.01,4.38
2011,2,11,20,16.51,41.56,0,4.85,10.02
2011,2,11,21,15.76,42.81,0,4.45,9
2011,2,11,22,15.32,43.06,0,3.85,4.54
2011,2,11,23,14.96,42.81,0,3.33,353.66
2011,2,12,0,14.5,43.38,0,2.97,337.22
2011,2,12,1,13.72,45.19,0,2.96,316.61
2011,2,12,2,12.59,48.31,0,3.35,300.87
2011,2,12,3,11.47,51.88,0,3.92,293.75
2011,2,12,4,10.66,54.38,0,4.3,293.31
2011,2,12,5,10.03,56.12,0,4.41,294.93
2011,2,12,6,10.07,56.44,0,4.55,293.17
2011,2,12,7,13.82,43.88,0,4.06,286.9
2011,2,12,8,16.96,36.56,0,2.8,279.96
2011,2,12,9,21.6,25.75,0,2.3,270
2011,2,12,10,25.86,19.19,0,2.89,256.72
2011,2,12,11,28.9,17.19,0,3.31,263.9
2011,2,12,12,30.18,16.94,0,3.21,271.25
2011,2,12,13,30.69,17.19,0,2.99,278.11
2011,2,12,14,30.61,17.81,0,2.73,280.54
2011,2,12,15,29.74,19.62,0,2.47,286.14
2011,2,12,16,26.87,33.56,0,2.13,316.04
2011,2,12,17,24.23,31.62,0,2.48,350.92
2011,2,12,18,22.75,33.31,0,2.92,12.7
2011,2,12,19,21.66,34.69,0,3.18,30.41
2011,2,12,20,20.9,35.38,0,3.21,50.62
2011,2,12,21,20.05,36.38,0,3.32,74
2011,2,12,22,19.08,38.12,0,3.62,96.19
2011,2,12,23,18.04,40.88,0,4.03,115.37
2011,2,13,0,17.02,43.5,0,4.53,132.41
2011,2,13,1,16.09,46.75,0,5.14,149.11
2011,2,13,2,15.33,49.56,0,5.59,163.92
2011,2,13,3,14.63,52.94,0,5.56,179.6
2011,2,13,4,13.92,56.81,0,5.26,195.69
2011,2,13,5,13.44,59.94,0,4.68,207.12
2011,2,13,6,13.76,60.12,0,3.93,211.76
2011,2,13,7,17.58,49.94,0,3.04,211.77
2011,2,13,8,20.55,41.38,0,1.75,206.57
2011,2,13,9,24.78,32.06,0,1.91,216.03
2011,2,13,10,29.51,19.75,0,3.95,253.35
2011,2,13,11,31.45,16.12,0,4.83,262.94
2011,2,13,12,32.21,15.06,0,5.15,261.8
2011,2,13,13,32.33,14.81,0,5.34,259.12
2011,2,13,14,31.9,15.44,0,5.54,258.61
2011,2,13,15,30.83,17.06,0,5.46,260.78
